"[0.0291890029221602, -0.004934496622551632, 0.04767956296170395, -0.0006190725845041101, 0.013683261899569699]",[0.02064572036913126]
"[-0.004934496622551632, 0.04767956296170395, -0.0006190725845041101, 0.013683261899569699, 0.02064572036913126]",[-0.04170923297468432]
"[0.04767956296170395, -0.0006190725845041101, 0.013683261899569699, 0.02064572036913126, -0.04170923297468432]",[0.00680103627363815]
"[-0.0006190725845041101, 0.013683261899569699, 0.02064572036913126, -0.04170923297468432, 0.00680103627363815]",[-0.003617196475147466]
"[0.013683261899569699, 0.02064572036913126, -0.04170923297468432, 0.00680103627363815, -0.003617196475147466]",[-0.030626674991860336]
"[0.02064572036913126, -0.04170923297468432, 0.00680103627363815, -0.003617196475147466, -0.030626674991860336]",[-0.036014988741309595]
"[-0.04170923297468432, 0.00680103627363815, -0.003617196475147466, -0.030626674991860336, -0.036014988741309595]",[0.027957076926324653]
"[0.00680103627363815, -0.003617196475147466, -0.030626674991860336, -0.036014988741309595, 0.027957076926324653]",[0.013966567491712434]
"[-0.003617196475147466, -0.030626674991860336, -0.036014988741309595, 0.027957076926324653, 0.013966567491712434]",[0.0125377549775052]
"[-0.030626674991860336, -0.036014988741309595, 0.027957076926324653, 0.013966567491712434, 0.0125377549775052]",[0.049281091987578574]
"[-0.036014988741309595, 0.027957076926324653, 0.013966567491712434, 0.0125377549775052, 0.049281091987578574]",[-0.03377119827216779]
"[0.027957076926324653, 0.013966567491712434, 0.0125377549775052, 0.049281091987578574, -0.03377119827216779]",[0.047175118370524016]
"[0.013966567491712434, 0.0125377549775052, 0.049281091987578574, -0.03377119827216779, 0.047175118370524016]",[0.034131582268896565]
"[0.0125377549775052, 0.049281091987578574, -0.03377119827216779, 0.047175118370524016, 0.034131582268896565]",[0.015770614570784103]
"[0.049281091987578574, -0.03377119827216779, 0.047175118370524016, 0.034131582268896565, 0.015770614570784103]",[-0.04250314459922788]
"[-0.03377119827216779, 0.047175118370524016, 0.034131582268896565, 0.015770614570784103, -0.04250314459922788]",[-0.04723508332747128]
"[0.047175118370524016, 0.034131582268896565, 0.015770614570784103, -0.04250314459922788, -0.04723508332747128]",[0.026229742282551483]
"[0.034131582268896565, 0.015770614570784103, -0.04250314459922788, -0.04723508332747128, 0.026229742282551483]",[0.047952271502838206]
"[0.015770614570784103, -0.04250314459922788, -0.04723508332747128, 0.026229742282551483, 0.047952271502838206]",[-0.03329711899776211]
"[-0.04250314459922788, -0.04723508332747128, 0.026229742282551483, 0.047952271502838206, -0.03329711899776211]",[0.049961105841815456]
"[-0.04723508332747128, 0.026229742282551483, 0.047952271502838206, -0.03329711899776211, 0.049961105841815456]",[-0.015216243343626257]
"[0.026229742282551483, 0.047952271502838206, -0.03329711899776211, 0.049961105841815456, -0.015216243343626257]",[0.0031891130442769366]
"[0.047952271502838206, -0.03329711899776211, 0.049961105841815456, -0.015216243343626257, 0.0031891130442769366]",[0.02733672002229448]
"[-0.03329711899776211, 0.049961105841815456, -0.015216243343626257, 0.0031891130442769366, 0.02733672002229448]",[-0.03623208825447355]
"[0.049961105841815456, -0.015216243343626257, 0.0031891130442769366, 0.02733672002229448, -0.03623208825447355]",[-0.0013469538912640466]
"[-0.015216243343626257, 0.0031891130442769366, 0.02733672002229448, -0.03623208825447355, -0.0013469538912640466]",[-0.01921683750632608]
"[0.0031891130442769366, 0.02733672002229448, -0.03623208825447355, -0.0013469538912640466, -0.01921683750632608]",[-0.025780285241894685]
"[0.02733672002229448, -0.03623208825447355, -0.0013469538912640466, -0.01921683750632608, -0.025780285241894685]",[0.002461403667912254]
"[-0.03623208825447355, -0.0013469538912640466, -0.01921683750632608, -0.025780285241894685, 0.002461403667912254]",[0.03982670123598919]
